nid,title,ramo
3292,SILCOST COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA,Informática (suprimentos)
3975,SISTEMA DE SERVIÇOS RB. QUALITY COM.DE EMB.LTDA,Limpeza e higiene
3975,SISTEMA DE SERVIÇOS RB. QUALITY COM.DE EMB.LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
3975,SISTEMA DE SERVIÇOS RB. QUALITY COM.DE EMB.LTDA,Segurança e proteção - EPI
3198,IMFORMÓBILE INDUSTRIA E COMERCIO DE MOVEIS LTDA,Mobiliário
3197,BORTOLINI INDUSTRIA DE MÓVEIS LTDA,Mobiliário
3293,SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME,Audiovisual
3293,SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME,Informática (acessórios e equipamentos)
3293,SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME,Informática (suprimentos)
3293,SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME,Material elétrico
3293,SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME,Telecomunicações
3703,Forma Certa Grafica Digital Ltda,Impressão gráfica
3703,Forma Certa Grafica Digital Ltda,Livros
3205,AMC INFORMATICA LTDA,Informática (acessórios e equipamentos)
3205,AMC INFORMATICA LTDA,Informática (softwares)
3205,AMC INFORMATICA LTDA,Informática (suprimentos)
3199,TEC IMPRES SERVIÇO DE MANUTENÇÃO DE MAQUINAS LTDA,Impressão gráfica
3283,EJS PARTICIPAÇÃO LTDA,Copa e cozinha
3283,EJS PARTICIPAÇÃO LTDA,Limpeza e higiene
3283,EJS PARTICIPAÇÃO LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Ferragens e ferramentas
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Limpeza e higiene
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Materiais e equipamentos para movimentação de carga
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Material elétrico
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Material hidráulico
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Material para construção
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Material para pintura
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Refrigeração
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Segurança e proteção
3203,POWER WATTS COM.MATERIAIS EM GERAL LTDA,Segurança e proteção - EPI
3204,Suntel Comercio de Produtos de Informatica Ltda,Audiovisual
3204,Suntel Comercio de Produtos de Informatica Ltda,Informática (acessórios e equipamentos)
3204,Suntel Comercio de Produtos de Informatica Ltda,Informática (suprimentos)
3204,Suntel Comercio de Produtos de Informatica Ltda,Material de escritório e desenho (papelaria)
3204,Suntel Comercio de Produtos de Informatica Ltda,Material elétrico
3204,Suntel Comercio de Produtos de Informatica Ltda,Telecomunicações
3207,Razão Social: Lojas Matel Com. Ltda,Ferragens e ferramentas
3207,Razão Social: Lojas Matel Com. Ltda,Material elétrico
3207,Razão Social: Lojas Matel Com. Ltda,Material hidráulico
3207,Razão Social: Lojas Matel Com. Ltda,Material para construção
3206,VIRTUALSERV.NET COMERCIO ELETRONICO LTDA.-ME,Encadernação de livros/revistas
3206,VIRTUALSERV.NET COMERCIO ELETRONICO LTDA.-ME,Impressão gráfica
3206,VIRTUALSERV.NET COMERCIO ELETRONICO LTDA.-ME,Informática (acessórios e equipamentos)
3206,VIRTUALSERV.NET COMERCIO ELETRONICO LTDA.-ME,Informática (softwares)
