"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
3292,"SILCOST COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,"SISTEMA DE SERVIÇOS RB. QUALITY COM.DE EMB.LTDA","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Segurança e proteção - EPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3198,"IMFORMÓBILE INDUSTRIA E COMERCIO DE MOVEIS LTDA","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3197,"BORTOLINI INDUSTRIA DE MÓVEIS LTDA","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293,"SUNTEL COMÉRCIO DE PRODUTOS DE INFORMÁTICA LTDA ME","Audiovisual","Informática (acessórios e equipamentos)","Informática (suprimentos)","Material elétrico","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,"Forma Certa Grafica Digital Ltda","Impressão gráfica","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3205,"AMC INFORMATICA LTDA","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3199,"TEC IMPRES SERVIÇO DE MANUTENÇÃO DE MAQUINAS LTDA","Impressão gráfica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3283,"EJS PARTICIPAÇÃO LTDA","Copa e cozinha","Limpeza e higiene","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,"POWER WATTS COM.MATERIAIS EM GERAL LTDA","Ferragens e ferramentas","Limpeza e higiene","Materiais e equipamentos para movimentação de carga","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Refrigeração","Segurança e proteção","Segurança e proteção - EPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3204,"Suntel Comercio de Produtos de Informatica Ltda","Audiovisual","Informática (acessórios e equipamentos)","Informática (suprimentos)","Material de escritório e desenho (papelaria)","Material elétrico","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3207,"Razão Social: Lojas Matel Com. Ltda","Ferragens e ferramentas","Material elétrico","Material hidráulico","Material para construção",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206,"VIRTUALSERV.NET COMERCIO ELETRONICO LTDA.-ME","Encadernação de livros/revistas","Impressão gráfica","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Livros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200,"SDL ELETRO ELETRONICA LTDA-EPP","Audiovisual","Eletrodomésticos","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Material elétrico","Material hidráulico","Segurança e proteção","Serviço de áudio e vídeo","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3201,"OXEDIO MULTIMIDIA COMERCIO DE ELETROELETRONICOS LTDA EPP","Audiovisual","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3664,"PMS COFFEE SOLUTIONS","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3215,"Souza & Soares Industria e Comercio de Moveis LTDA","Madeiras","Mobiliário","Mobiliário (móveis de aço)","Serviço de marcenaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3217,"IHD DE ALMEIDA ME","Mobiliário","Mobiliário (móveis de aço)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3216,"Marcenaria CEA Móveis sob medida Ltda - ME","Madeiras","Mobiliário","Serviço de marcenaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,"STOP-CAR INDUSTRIA E COMERCIO LTDA - EPP","Ferragens e ferramentas","Materiais e equipamentos para movimentação de carga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3212,"STALO BAURU MOBILIÁRIO ESCOLAR LTDA","Mobiliário",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3214,"MAX LABOR PRODUTOS PARA LABORATÓRIO LTDA - ME","Material e equipamento de laboratório","Médico-hospitalar","Mobiliário (móveis de aço)","Segurança e proteção - EPI","Serviço de marcenaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
